,Subject,Body,File name
1585,emissions strategy meeting,calendar fyi sent by lisa jacobson environmental strategies please let us know your availability the environmental strategies group will convene an emissions strategy meeting in mid may to discuss global emissions issues such as climate change and u s multipollutant legislation and explore some of the potential business opportunities for enron commercial groups the primary objectives of the session are to provide you with the latest information on emissions regulation markets and enrons advocacy efforts worldwide and receive feedback on your commercial interests and input on policy options so that we may develop the best business and policy strategies for enron in both the short and long term we invite you or a member of your group to participate in this important strategic discussion our target dates are may or in houston likely time is a m p m please respond immediately with your best available dates so we can finalize our arrangements please review the attached invitation and preliminary agenda if you have any questions or suggestions in advance of the meeting do not hesitate to contact me of jeff keeler we look forward to your participation lisa jacobson manager environmental strategies enron,8338.
1586,year end performance feedback,note you will receive this message each time you are selected as a reviewer you have been selected to participate in the year end performance management process by providing meaningful feedback on specific employee s your feedback plays an important role in the process and your participation is critical to the success of enrons performance management goals to complete requests for feedback access pep at http pep corp enron com and select perform review under performance review services you may begin providing feedback immediately and are requested to have all feedback forms completed by friday november if you have any questions regarding pep or your responsibility in the process please contact the pep help desk at houston option london option email perfmgmt enron com thank you for your participation in this important process the following is a cumulative list of employee feedback requests with a status of open once you have submitted or declined an employees request for feedback their name will no longer appear on this list review group enron feedback due date nov employee name supervisor name date selected andrews naveen c rudi c zipter oct baxter ashley david davies nov campos hector o peyton s gibner nov carson richard l richard b buy oct crenshaw shirley j wincenty j kaminski oct gandy kristin h celeste c roberts nov gorny vladimir theodore r murphy ii nov hewitt kirstee l steven leppard nov hickerson gary j jeffrey a shankman nov kindall kevin vasant shanbhogue oct leppard steven dale surbey nov patrick christie a mark a palmer nov pham bich anh t sarah brown nov raymond maureen j wincenty j kaminski nov rosen michael b christie a patrick nov sun li kevin kindall nov supatgiat chonawee peyton s gibner oct tamarchenko tanya v vasant shanbhogue oct tawney mark r jeffrey a shankman oct thuraisingham ravi paul h racicot jr nov williams matthew steven leppard nov yaman sevil vasant shanbhogue oct yuan ding richard l carson oct,7684.
1587,mou,also make sure that enron has the spelled out right to disclose information to an assignee of its rights under the agreements and to disclose info to the various types of lenders that we use check with kay mann about accounting turbopark confidentiality issues which should be contained in term sheet and mou thanks bng barbara could you please review the attached mou and fax down the signature page with your initials for max to sign thanks matt matthew duffy enron de mexico phone from the us inside mexico,5854.
1588,change to socalgas capacity policy,original message from lohman tk sent wednesday june pm to watson kimberly lindberg lorraine lokay michelle fawcett jeffery subject fw socalgas capacity policy please find attached a letter from lad and pat of socal tw was requested by socal to reallocate the needles window on intraday cycle last friday socal lowered the window below tws firm requirements this has not been the policy previously followed by the two companies once the socal window was established on the timely cycle the window would not change for that gas day i did not want to cut tws ft shippers late on friday i wanted time to alert them that this policy was changing and they could not rely on getting the same allocation of gas at needles during each daily cycle lynn and i talked with pat davidson and tw has agreed to accomodate any changes increases or decreases to the window during a particular gas day except for the intraday cycle lynn and i told pat that changing the allocation during intraday cycle would create imbalances on tws system and tw was not allowed to have shipper imbalances per its tariff lynn has prepared an ebb posting alerting our shippers of this change it will be posted today and the policy will go into affect for fridays gas day any questions please call mrs blair original message from davidson patricia tppsd pdavidson socalgas com enron mailto imceanotes davidson c patricia tppsd cpdavidson s ocalgas ecom e enron enron com sent wednesday june am to blair lynn tk lohman tk lohman subject socalgas capacity policy the attached letter was faxed to shelly corman this morning twcap doc pat davidson gas scheduling manager southern california gas company pdavidson socalgas com twcap doc,12562.
1589,first amended complaint,attached is a copy of enrons first amended complaint if you have suggestions or comments you can reach mr kirby on his cell phone the information contained in this e mail message and any accompanying documents is subject to the attorney client privilege and or the attorney work product rule and is confidential business information intended only for the use of the individual or entity named above if the reader of this message is not the intended recipient or representative of the recipient you are hereby notified that any dissemination of this communication is strictly prohibited if you have received this communication in error please notify the systems administrator at admin pkns com and immediately delete this message from your system wpd,29233.
1590,michael,charlotte i forgot to call you this past weekend regarding michael he has an appointment with sharon tuesday and paige is taking him for me im taking my mom to the doctor tuesday morning so i will be out of the office in the am if you are open saturday i may try to take kay out saturday night nm,4731.
1591,draft documents for the nstar transaction,per request of chris gaffney attached please find clean and marked copies of the draft of the wholesale power supply agreement and a clean copy of the draft power purchase financial settlement agreement for the nstar transaction note that the documents relate only to the beco portion of the transaction and the marked copy of the wholesale power supply agreement shows changes from the may six month deal that was executed with nstar if you have any questions about the attached documents please do not hesitate to contact me at the number listed below sincerely michael didriksen notice this e mail including attachments contains information that is confidential and it may be protected by the attorney client or other privileges this e mail including attachments constitutes non public information intended to be conveyed only to the designated recipient s if you are not an intended recipient please delete this e mail including attachments and notify me by return mail e mail or at the unauthorized use dissemination distribution or reproduction of this e mail including attachments is prohibited and may be unlawful michael didriksen leboeuf lamb greene macrae l l p west th street new york ny fax mdidriksen llgm com beco wpsa doc beco ppfsa doc beco wpsa cumulative redline doc,1609.
1592,meh cash management meeting,after hearing back from everyone a meeting is scheduled for today to discuss the cash management needs of enovate formerly known as meh sam has reserved conference room for all of you in houston once you are all together just call me thanks for everyones flexibility on short notice gregg,3588.
1593,extension of ila,ive taken the liberty of drafting a form of extension letter to extend the ila until june i suspect reagan will be distributing to the commercial folks but i thought i would give you a heads up david im at work on revising the longer term doc if you have your preamble stuff ready im happy to put it in now thanks kay ps the salutation is to gentlemen are the members of the commission and mdea all men i dont want to commit a blunder,6081.
1594,confidentiality agreement,mr sorte michael brown and janelle schueur have requested that i forward this confidentiality agreement to your attention regards kay mann,1536.
1595,the peoples gas light company,boyd i am not sure you have seen this agreement if you havent please give it a look for fatal flaws or information you think we need to be informed thank you kay kay sounds like jeff is okay with the affiliate master purchase sale agreement from an enron transactional point of view as this document will be filed with the icc i want to make sure that boyd is agreement assuming boyd gives the all clear we need to decide if we intend to file this right away or wait for the hub agency agreement to be completed and make a joint filing however i am cautiously optimistic that we are not too far apart on the hub agreement we had a commercial meeting yesterday and despite the obstacles presented by my supposed meh partner roy i think we made some headway talk to you later gregg am jeffrey t hodge ect am sent by jenny helton ect to roy rodriguez corp enron enron cc stacy e dickson hou ect ect kay mann corp enron enron gregg penman corp enron enron ect sheila tweed hou ect ect subject the peoples gas light company attached is a memo regarding the above,4013.
1596,bush cheney at dinner,even though im a bush cheney supporter i had to pass this one along george bush and dick cheney are enjoying a celebration dinner at a fancy washington restaurant their waitress approaches their table tom take their order and she is gorgeous she asks cheney what he wants and he replies ill have the heart healthy salad very good sir she replies and turning to bush she asks and what do you want mr president bush answers how about a quickie taken aback the waitress slaps him and says im shocked and disappointed in you i thought you were bringing in a new administration that was committed to high principles and morality im sorry i voted for you with that the waitress departed in a huff cheney leans over to bush and says mr president i believe thats pronounced quiche,7451.
1597,revised presentation,heres the revised presentation,7379.
1598,margin rate change for henry hub natural gas futures,contracts notice no march to all nymex division members and member firms all nymex division clearing firms all nymex division operations managers from neal wolkoff executive vice president subject margin rate change for henry hub natural gas futures contracts effective date friday march close of business futures contract henry hub natural gas futures contract months all months rate change nymex division margins on henry hub natural gas futures contracts clearing member maintenance margin old new member customer initial margin old new non member customer initial margin old new should you have any questions regarding these changes please contact arthur mccoy at or joe sanguedolce at this notice supersedes all previous notices regarding outright margins for the nymex henry hub natural gas futures contract please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdoc note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10437.
1599,asset marketing,we are pleased to announce the creation of a new group asset marketing within enron americas the asset marketing group will have responsibility for the asset divestment function within enron americas and work with generation investments on selected portfolio acquisitions as well as managing power origination funding requirements with treasury don miller will head the asset marketing group and will report directly to the office of the chair enron americas joining dons group will be stuart zisman stuart was formerly in ena legal having most recently worked on the sale of enas peaker plants with don please join us in congratulating don and stuart in their new roles,11062.
1600,brent,brent hendry is still ill he has a doctor appointment this morning and will not be in the office today carol brent said you were the main instructor for todays credit legal training session if i can help with anything please let me know snacks and extra chairs have already been requested becky,11027.
1601,nymex accessc web site update,notice no march to all exchange members from neal wolkoff executive vice president subject nymex accessc web site as of thursday march the nymex accessc web site remains unavailable for the nymex accessc session for trade date march rd please call the nymex accessc control center nacc for all nymex accessc price information at we will provide an update regarding the status of the web site on friday march th should you have any questions or require any further information please contact exchangeinfo nymex com please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdoc note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10396.
1602,ms switches of guarantee,member services notice no ms may commodity exchange inc switches of guarantee please be advised that effective immediately may stephen willner spw will no longer be guaranteed by spear leeds kellogg however mr willner will remain a member guaranteed by pioneer futures inc furthermore be advised that effective immediately may keith harary keet will no longer be guaranteed by mbf clearing corp however mr harary will remain a member guaranteed by pioneer futures inc in connection therewith notification of any claims against the aforementioned individual arising out of transactions executed on the exchange up to the close of business on may must be submitted to the corporate secretarys office within ten days inquiries regarding the above should be directed to the member services department at notice of intention to transfer memberships notice of intention to transfer memberships has been posted on the bulletin board of the exchange by robert walford rwal in connection therewith notification of any claims against the aforementioned individual arising out of transactions executed on the exchange up to the close of business on may must be submitted to the corporate secretarys office within ten days inquiries regarding the above should be directed to the member services department at please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c ms note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,11412.
1603,class enrollment,good morning all cheryl will be out of town and is unable to attend this class she must have someone to attend this class in her place the deadline to cancel has already passed would anyone be interested in taking her place if so please contact me and i will make the necessary arrangements thank you for your attention to this matter regards keegan farrell keegan can you forward this immediately to all in ena legal to see if anyone would like to attend in my place thanx tremendously cheryl nelson senior counsel eb http gss enron com gracie s presas enron enronxgate am to youyi feng enron enronxgate maria garza hou ect ect gus hernandez hou ees ees rika imai na enron enron christy lobusch na enron enron zhuoming lou enron enronxgate kate lykes enron enronxgate souad mahmassani corp enron enron javier marrero corp enron enron darin meyerson hou ees ees cheryl nelson na enron enron jennifer nguyen corp enron enron manfred roenz enron enronxgate sharon smith aa corp enron enron tony valenzuela hou ees ees kim t alexander etol eu enron enron thomas araujo enron enronxgate tim carter hou ees ees phil demoes corp enron enron dyanne kellough hou ees ees sladana anna kulic enron enronxgate kevin ruffcorn enron development enron development cc subject class enrollment reminder you are enrolled in the following what structuring natural gas transactions when may where eb time am pm both days if available please bring a financial calculator with you to class,11569.
1604,contract standardization meeting,mark and jeff here is information i recd regarding the upcoming eei meeting on friday may th elizabeth as you know the next meeting for the wholesale electric contract standardization group will be held this friday may on the th floor of eeis offices at pennsylvania ave n w from a m p m attached are the agenda and draft contract for discussion at the meeting if you plan to attend and have not already done so please fax back to the form sent to you on april or respond to this message by using your e mail programs replyto function if you have any questions or concerns please call kathy seaman at those still planning to reply to the book out survey may send their responses directly to caroline goodson at cgoodson schiffhardin com for summarization should you have confidentiality concerns you may send them to eei at kseaman eei org we will then strip out any identifying material to ensure anonymity and forward them to caroline we hope that the subcommittee groups will be able to report the results of their efforts so that we can devote time to these issues at the meeting please pay particular attention to anything in the contract thats bracketed as these will be major areas of focus at the meeting agenda rtf draft eei contract rtf,1075.
1605,paige,paige wrote me at this am and said that since she was still up at she probably wont be home in time for michaels parties should i just leave him after gymnastics i dont really want to come back the office but i do want to go to annes hmmm if paige is home by everything might work,2368.
1606,please read hr commercialization,i apologize for the duplication the previous e mail should have come directly from cindy thank you kathy i am excited to report that we are moving forward in our hr commercializati on efforts as you may have read in the e mail announcement april rd the hr community committed to enron s board of directors to commercialize at le ast one of our innovative hr systems or processes following is the vision for our commercialization efforts transforming hr s value by bringing business fundamentals to the way w e operate and developing opportunities in human performance areas currently we are looking at opportunities in three main areas to realize this vision managed services for our transactions packaging market ready systems processes applications new market opportunities in knowledge management and talent management because this is such a critical factor in hr s success a team was assem bled to quickly analyze our commercialization opportunities and recommend go forward actions this team will leverage information from hr leaders and subject matter experts everyone s participation is vital to our succes s with full participation and support we will realize our board commitment an d truly transform hr to a business minded entity you will begin receiving communication from the commercialization team immediately you will find the first request for action attached to this e mail please support the commercialization efforts with quick and comprehensive responses i appreciate your cooperation and look forward to realizing our commercialization opportunities together cindy,8095.
1607,allied waste north america inc,we have received an executed financial master agreement type of contract isda master agreement multicurrency cross border effective date july enron entity enron north america corp counterparty allied waste north america inc transactions covered approved for all products with the exception of foreign exchange confirming entity enron north america corp choice of law new york copies will be distributed stephanie panus,11253.
1608,nda for agilon,tana we would like an nda for the following counterparty agilon technologies inc attn mr paul s galant dallas parkway dallas tx gpreston agilon com nature of business enron net works l l c is hoping to have agilon perform transaction hub service functions for eol agilon has software that would fit nicely on top of eol and help our trading counterparts more easily download and create their own trading reports as a result of their transacting with eol please email the nda to me and you can send the hard copy out directly to mr galant no know legal contact at agilon yet muchas gracias herrin jones johan john allario enron net works l l c o c john allario enron com,11952.
1609,mid year performance feedback,note you will receive this message each time you are selected as a reviewer you have been selected to participate in the mid year performance feedback process by providing meaningful feedback on specific employee s that have been identified for you your feedback plays an important role in the performance evaluation process and your participation is very critical to the success of ects performance management goals please provide feedback on the employee s listed below by accessing the performance management system and completing an online feedback form as was described in the ect performance management quick reference guide you may begin your feedback input immediately please have all feedback forms completed by the date noted below if you have any questions regarding the performance management system or your responsibility in the process please call the performance management user support hotline at the following numbers for u s payroll employees option for canada payroll employees thank you for your participation in this important process the following list of employees is a cumulative list of all feedback requests by operating company that have an open feedback status an employees name will no longer appear once you have completed the feedback form and submitted as complete in the performance management system review group enron capital trade resources feedback due date jul employee name supervisor name date selected murphy melissa a kim s theriot jun ngo tu t william s bradford jun reeves leslie k sally w beck jun theriot kim s leslie k reeves jun,3643.
1610,ameren agreements,there are two critical issues to address in interconnect agreements one is the inclusion of a notice to proceed concept before obligations are triggered under the interconnection agreement this effectively renders the agreement an option and the inclusion of text that relates to turbopark ie broad assignment language and providing an alternative form of security turbopark cannot provide such guaranties see attached file ameren enron interconnect agreement doc see attached file ameren enron parallel operating agmt doc phone fax ameren enron interconnect agreement doc ameren enron parallel operating agmt doc,6144.
1611,michaels performance,was michaels performance outstanding as usual its been very quiet here this afternoon your little man is so cute you need to take a good picture so i can put it on canvas and frame it for you it looks so professional and expensive or i could take a picture of your family and do it for you i wish someone would take a photograph of all of us,5782.
1612,interruptible program contracts,date july to cmta members from delette speelmon please let me know if your company has or will be cutting a check to edison to repay any discount received under interruptible program contracts we are working on legislation that would allow companies to keep a proportionate amount of the discount received between november and january based on the companys level of compliance when called to curtail thank you delette speelmon director energy technology dspeelmon cmta net groyer vcf,29051.
1613,introduction,vince as way of introduction i wanted to write a bit about mars inc and then about cds the unit i head mars is a private company considered to be the largest privately owned manufacturing company in the world mars is not in the habit of disclosing its finances so the best i could do is refer to forbes estimate of billion annual revenue and to the profit margins of similar companies between mars is in the business of manufacturing confectionery m m dove bar skittles twix all r food uncle ben rice r pet food pedigree whiskas waltham r and other products mars has prospered during the years because of a unique philosophy that emphasizes the long term goals of the company part of the philosophy is to look for win win solutions with its suppliers customers and partners as can be understood from the nature of the company a large chunk of its expenses goes towards purchasing commodity like products and hence the history of researching those commodities and the weather that influences their supply and the demand people eat less ice cream in the winter and less chocolate in the summer cds has a history of few decades in forecasting weather and has been very successful with an envious track record in helping mars get a competitive advantage in these arenas cds is a global group in countries across two continents which supports the purchasing function and the corporate at large in these and other arenas it is a multidiscipline and multinational team with a lot to offer not having a ready access to the energy markets and with a risk profile based on manufacturing expertise mars has decided to look for potential partners in this area enron presence in the market place certainly makes it an interesting party to talk to in talking to enron we are careful to suggest that mars is not committing to anything at this point and all we are after is to find out if there is an interest to pursue the opportunity we discussed in the future i am looking forward to our video conference call kind regards avi avi i hauser phd mba cds director international drive mt olive nj office fax car slow paging hauser cdsusa com,8154.
1614,direct access letter,in advance of the cpucs meeting june when they will consider suspending direct access we would like to send a letter from ken lay to the top businesses ceos and members of the coalition for energy action urging them to weigh in with the puc arem has already issued a media advisory alerting the press to the puc meeting please review the attached letter and let me know if you have any comments or changes as soon as possible if we send something out it will need to go out first thing monday morning thank you kd,12651.
1615,welcome to nercnews,welcome to the nercnews mailing list please save this message for future reference thank you if you ever want to remove yourself from this mailing list you can send mail to majordomo nerc com with the following command in the body of your email message unsubscribe nercnews or from another account besides skean enron com unsubscribe nercnews skean enron com if you ever need to get in contact with the owner of the list if you have trouble unsubscribing or have questions about the list itself send email to owner nercnews nerc com this is the general rule for most mailing lists when you need to contact a human heres the general information for the list youve subscribed to in case you dont already have it this is a list for distribution of the nerc news,6847.
1616,steve hall,by the way i spoke to chris foster and greg wolfe about the relative merits of steve hall and shari stack their thinking was that steve is probably a better deep thinker to use elizabeths words but that he might be bored with the routine transaction work that shari seems to really enjoy he also doesnt have the isda background which would provide tremendous benefit to us therefore i think shari is a better fit for our current needs having said that i am extremely impressed with steve he has a better handle on this california work than anyone ive worked with yet he seems really bright and responsive i talked to him last week about working for enron and he seemed interested i didnt get into any details about our needs but gauged his general level of interest in the work that he is doing for us and his willingness to consider jobs other than his current one he basically said that he would be happy to hear about opportunities here i was talking to richard sanders yesterday and he also is impressed with steve and said that he had considered trying to hire him i dont know if there is a position for steve or not i just wanted to give you feedback on my discussions with him let me know if you need any help or information from me on this matter regards tim,290.
1617,nrg energy purchase and sale agreement,leslie can you please forward to the appropriate person ms sager the attached document includes revisions to the master energy purchase and sale agreement between nrg power marketing inc and enron after you have had an opportunity to review the agreement please give me a call at thanks rrr doc david m adams attorney leonard street and deinard south fifth street suite minneapolis mn phone fax email david adams leonard com this electronic mail transmission and any accompanying documents contain information belonging to the sender which may be confidential and legally privileged this information is intended only for the use of the individual or entity to whom this electronic mail transmission was sent as indicated above if you are not the intended recipient any disclosure copying distribution or action taken in reliance on the contents of the information contained in this transmission is strictly prohibited if you have received this transmission in error please call me collect at to notify me and delete the message thank you rrr doc,1478.
1618,tva control areas nerc policies,as you are aware the legal group has been considering epmis options given tvas failure during the summer of to treat enrons control areas in a manner similiar to other control areas one option we have considered is the possibility of claiming monetary damages against tva for tvas breach of nerc policies in order to make such a statement we would in essence be required to assert that the nerc policies are a contract which all nerc members are obligated to abide by and for which the failure to do so could result in monetary damages one concern with this strategy is whether epmi and or its affiliates could possibly be damaged in other unrelated proceedings if it was determined that nerc policies were indeed contractual obligations e g a third party claims monetary damages against epmi for an alleged violation of nerc contractual policies it would be very helpful if you would consider this issue and get back to me with any thoughts or comments you have thanks for your help elizabeth confidential attorney work product not discoverable,1216.
1619,vepco interconnection agreement,how does everybody look for a discussion concerning the vepco interconnection agreement on tuesday sept ive checked with christi mitch and reagan so they dont need to confirm details to follow thanks kay,3516.
1620,us ferc ordered calif power talks end without agreement,i am told that due to the lack of settlement the judge will recommend a refund based on a proxy mcp wherein there will be a daily or hourly heat rate multiplied by a daily gas price o m emission costs would be justfied on a generator specific basis the refund would only look at transactions oct june note that refund orders have already come out so presumably this recommendation would lead to a modification of those existing orders the modifications proposed to the june order affect the refund caculation only this does not change anything to the current mitigation rules to reiterate the judges recommendation is just that and ferc has not yet ruled fromally more news to come alan comnes us ferc ordered calif power talks end without agreement dow jones energy service copyright c dow jones company inc washington dow jones federally mediated negotiations between the state of california and power providers ended monday without an agreement settling the states demand for refunds for alleged overcharges throughout the fast track day settlement conference california remained steadfast in its demand for billion in refunds but power providers offered a total of million according to the federal mediator overseeing the talks u s federal energy regulatory commission chief administrative law judge curtis wagner said at the close of talks monday that he will recommend that the commission use its june price mitigation order to retroactively determine refunds due dating back to oct such an approach is expected to result in a total refund far less than the nearly billion sought by the state the ferc ordered settlement conference set the balls rolling wagner said in days you cant work miracles he said of the unresolved negotiations wagner said he would recommend that ferc order a fast track hearing of days or less to address the disputed issues unresolved by the talks he also said he would recommend alterations in the june orders pricing methodology to address problems involving power plant heat rates natural gas pricing and the cost of emissions permits of the total million in refund offers cited by wagner the so called big power generators in california had offered million the remainder included million offered by bc hydros powerex million by a group of power marketers million by six california municipal utilities and million offered by load serving entities outside california many of the offers of settlement could with time result in an agreement wagner said wagner also noted that california came close to settlement with calpine corp cpn during the negotiations calpine vice president joe roman told reporters that the agreement with california was close to gelling copyright dow jones company inc all rights reserved,28467.
1621,city of austin agreement,hi guys this is the break out contract for the lms this particular draft was prepared for the city of austin project but we also need a turbopark version please advise of any comments you might have thanks kay pm kay mann am to lisa bills corp enron enron roseann engeldorf corp enron enron cc sheila tweed hou ect ect ppipitone akllp com pthompson akllp com subject city of austin agreement lisa rose attached is the most recent draft of the facility agreement for the lms this version was prepared for the austin project and therefore lacks any devco specific references or requirements your input as to any lender requirements as well as the rights and responsibilities of the agent would be greatly appreciated thanks kay am thompson peter j peterthompson akllp com on pm to kay mann e mail kay mann enron com cc pipitone paul paulpipitone akllp com cobb chris chriscobb akllp com subject city of austin agreement attached please find a clean copy of the city of austin facility agreement as well as a blackline showing changes to the document agreed to by ge to complete the agreement the following needs to be inserted for the recitals the kw capacity of its plant and the location of the plant all exhibits including exhibit n which is the original price for each unit and exhibit u which contains the site specific material the table of contents should then be run to include all of the exhibits the agreement reference in the payee and address for invoices in the names addresses etc for sections and comparison of the gas turbine agreement doc gas turbine agreement draft of doc comparison of the gas turbine agreement doc doc,2683.
1622,tariff nepool nyiso pjm,help please forward copies of your tariff binders for nepool nyiso and pjm so that i can begin reviewing also please forward copies to tracy ngo and bill bradford thanks ed sacks,549.
1623,reminder for cocktails and bob on the lawn,image this is your reminder for cocktails and bob on the lawn you are still undecided to rsvp just click here image image having trouble if nothing happens when you click the link above click it twice if nothing happens then use your mouse to cut and paste the following address http evite citysearch com r iid vjatdsxxpeaxaruvkivg into your web browser then hit return that will take you to the invite if you cant access the event page go to http evite citysearch com log in if you are already a member or sign up for an evite account using the same email address the organizer used to contact you about this event go to your myevite inbox and click the event title to view your invite still having trouble email support evite citysearch com brought to you by evite check out http evite citysearch com today getting your friends together just got easier image image,27770.
1624,fletcher challenge apache assignment,per a conversation i just had with saul laureles an attorney with chamberlain hrdlicka who has been hired to assist apache shell with the assignment of the fletcher challenge business he said fletcher challenge would like to assign their petro business to shell holdings for a short time like one day or so shell would then immediately transfer the agreement transactions to apache he proposes we get a new master in place with apache since apache is a better credit than fletcher challenge he said he will send me some letter showing how he would like to do this along with a draft apache isda without collateral of course since apache is such a good credit i told him that i cant speak for credit but we probably are going to have a big problem on that last point we never enter into masters without a collateral annex attached ill keep you posted when i hear from him,9202.
1625,eei collateral annex and cover sheet,elizabeth here are the comments from me and dede i have given it to our credit dept and asked for comments but i doubt they will have much to add call me if you have any questions with what we wrote with regard to the full blown wspp collateral annex dede and i think it would be better to get the eei one in a final form before converting it over to fit into the wspp otherwise we could be revising the documents in parallel i am planning to get the short draft wspp collateral annex over to you today thanks shari see attached file collateral annex revised red doc see attached file collateral annex cover sheet red doc collateral annex revised red doc collateral annex cover sheet red doc,226.
1626,conference call,gregg ish looks good for both david and me if you would like to call me we can conference in david thanks kay,3807.
1627,conference call,hear ye hear ye a conference call is hereby declared and scheduled for friday december at p m eastern p m central a m pacific time among david mitchell elizabeth sager shari stack and christian yoder i will initiate the call cgy,1968.
1628,new addendum to intelligence press contract,tana can we please send a new addendum to the intelligence press contract extending the exact contract another months the current addendum expires on april the addendum goes to dexter steis at dexter intelligencepress com dexters phone number is please let me know if you need further information thank you julie,11198.
1629,meeting in scottsdale,bob just to let you know and confirm that enron will be happy to speak about the eei master agreement at your meeting in scottsdale on thursday january from approx pm as of now the speaker will be elizabeth sager who is an assistant general counsel in the enron north america legal department she is the head of the physical power legal group here please let me know the deadline for receiving her biography and the handouts by the way no one has ever called me from napco so i am sending this email to you thanks shari stack senior counsel enron north america legal department tel,1892.
1630,clickpaper approvals,attached are clickpaper approvals for january,9088.
1631,extension of ila,ive taken the liberty of drafting a form of extension letter to extend the ila until june i suspect reagan will be distributing to the commercial folks but i thought i would give you a heads up david im at work on revising the longer term doc if you have your preamble stuff ready im happy to put it in now thanks kay ps the salutation is to gentlemen are the members of the commission and mdea all men i dont want to commit a blunder,4413.
1632,revised form of memorandum of option,herman attached is a revised form of memorandum of option for your review we have revised it to be consistent with our form of option to purchase please advise if these revisions are acceptable thanks kathleen carnahan enron north america corp smith street eb d houston tx phone fax,6059.
1633,name overlays,in addition to the above name overlays there was a name correction name correction jefferson cocke county utility district public utility district of jefferson and cocke counties tennessee the name overlays all had the proper documentation and there are no changes in cp id or ba id numbers if additional details are required please look at the notes tab in global counterparty affected shortnames will change on friday may i will forward those under separate cover i am in the process of moving the report to a shared directory i apologize for any inconvenience this may cause if there is additional information that i can add to this abbreviated version of the report to make it easier in the meantime please reply i appreciate your patience cheryl x,11537.
1634,canadian annex,tana can you e mail to me the new canadian annex thanks joe,10025.
1635,blackout hits las vegas,mercury news blackout hits las vegas blackout hits las vegas as number comes up and california calls its first power alert since may as the mercury soars july from staff and news service reports las vegas suffered its first rolling blackout ever monday as soaring temperatures and churning air conditioners outstripped the local utilitys ability to provide electricity nevada power co cut about megawatts or enough electricity for homes for about an hour scattered outages were reported around the las vegas area where temperatures reached degrees earlier the utility asked its major power users including the neon lit resorts on the las vegas strip for voluntary reductions casinos instituted conservation measures largely not noticeable by guests meanwhile in california high temperatures led the independent system operator to declare an emergency alert for the first time since may a stage alert was called at p m as reserves fell below percent of demand the alert was upgraded to a stage at p m meaning reserves fell below percent the alert didnt trigger new wholesale price limits under a system recently ordered by the federal energy regulatory commission under the ferc rules a stage alert must be in effect for a full clock hour i e to p m to reset the caps said stephanie mccorkle a spokeswoman for the iso since the stage was upgraded to stage before a clock hour passed that condition was not met she said the cap designed to prevent price spikes remains at a megawatt hour,12929.
1636,midway,hows glenn doing with my binder lots of midway activity this week thanks kay,6149.
1637,cost centre,hi tana when i spoke to you last week regarding the fedex bill charged to one of our customer lake side packers you gave the company number which is great then you gave me a billing code accounting has come back to me indicating that they need a cost centre the billing code number apparently does not mean anything to them can you please forward me the cost centre to which this fedex bill should be charged to thank you in advance for your help angela,9911.
1638,view on exit fees,wednesday morning june before the cpuc decision to delay the vote on da i gave marty sunde this view on exit fees and surcharges for dwr costs in the california market there is a probability that customers who go to direct access and who used utility service between january and june will pay an exit fee calculated as the difference between market price and utility rates during that period the exit fee could also include the going forward costs or alternatively those costs could be passed along in the form of a uniform surcharge in other words with regard to past costs regulators or legislators would require da customers to pay the amount they belive had been sucked from the state during the january june crisis period i said the retroactive ratemaking argument is a nicety that california could easily dispense with now that we know the cpuc decision will be delayed i think the probability of exit fees for retroactive costs is even higher either the da legislation will pass between now and july or carl wood will change the puc order to get the jailbreaking customers to pay up,28198.
